ServiceApprovalNumber,ServiceName,ProviderLegalName,ServiceType,Suburb,State,Postcode,longitude,latitude,coordinate_valid,OverallRating,rating_group,NumberOfApprovedPlaces,DistanceToBusStation_km,DistanceToTrainStation_km,nearest_transport_distance_km,transport_distance_invalid,transport_distance_review,annual_weekly_operating_hours,annual_hours_valid,term_weekly_operating_hours_unadjusted,term_weekly_operating_hours,term_hours_overlap_adjusted,holiday_weekly_operating_hours,weekly_operating_hours,operating_hours_basis,detailed_offering_count,detailed_offering_combination,remoteness_code,remoteness_area,remoteness_broad_group,boundary_state_name,boundary_state_abbr,remoteness_match_status,state_boundary_consistent,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other
SE-40028890,Ararat Early Learning Centre Stawell West OSHC,ARARAT EARLY LEARNING CENTRE PTY LTD ATF SW & KJ TURNER FAMILY TRUST.,Centre-Based Care,STAWELL,VIC,3380,142.771426,-37.065553,True,,No current rating,22.000000,110.812018,0.716078,0.716078,False,False,,False,25.000000,25.000000,False,50.000000,25.000000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,21,Inner Regional Australia,Regional Australia,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028896,Djinda Dreaming Education Leda,Jaliz Enterprises Pty Ltd ATF Chambers Childcare Trust,Centre-Based Care,LEDA,WA,6170,115.808370,-32.257460,True,,No current rating,65.000000,29.056453,1.097425,1.097425,False,False,60.000000,True,,,False,,60.000000,Annual,4.000000,Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,Yes,No,No,Yes,Yes,Yes,No
SE-40028904,Little Kindy Dalyellup,Little Kindy Pty Ltd,Centre-Based Care,DALYELLUP,WA,6230,115.633642,-33.397021,True,,No current rating,80.000000,155.583945,9.096756,9.096756,False,False,57.500000,True,,,False,,57.500000,Annual,1.000000,Long Day Care,51,Inner Regional Australia,Regional Australia,Western Australia,WA,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028907,Red Cliffs Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,RED CLIFFS,VIC,3496,142.185639,-34.312462,True,,No current rating,66.000000,14.661249,146.245578,14.661249,False,False,,False,60.000000,35.500000,True,,35.500000,School term,1.000000,Preschool: Stand-alone,22,Outer Regional Australia,Regional Australia,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,Yes,No,No,No,No
SE-40028926,Children's Village Pendle Hill,To Be 0-6 Pty Ltd,Centre-Based Care,PENDLE HILL,NSW,2145,150.959622,-33.796801,True,,No current rating,48.000000,8.614788,0.600081,0.600081,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,10,Major Cities of Australia,Major Cities,New South Wales,NSW,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028935,Little Locals South Ripley,Little Locals West Pty Ltd,Centre-Based Care,SOUTH RIPLEY,QLD,4306,152.801698,-27.690904,True,,No current rating,147.000000,8.070036,9.155549,8.070036,False,False,60.000000,True,,,False,60.000000,60.000000,Annual,4.000000,Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,,,,,,,,Yes,No,No,Yes,Yes,Yes,No
SE-40028943,King’s Baptist Grammar School OSHC-Extend,Extend (Australia) Pty Ltd,Centre-Based Care,MOUNT BARKER,SA,5251,138.846284,-35.076673,True,,No current rating,20.000000,21.611786,7.309917,7.309917,False,False,,False,15.000000,15.000000,False,,15.000000,School term,1.000000,OSHC: After School,41,Inner Regional Australia,Regional Australia,South Australia,SA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,No,No,No
SE-40028949,Little Locals Greenbank,Little Locals South Pty Ltd,Centre-Based Care,GREENBANK,QLD,4124,152.976070,-27.713651,True,,No current rating,140.000000,8.364629,8.001062,8.001062,False,False,60.000000,True,,,False,60.000000,60.000000,Annual,4.000000,Long Day Care + OSHC: After School + OSHC: Before School + OSHC: Vacation Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,,,,,,,,Yes,No,No,Yes,Yes,Yes,No
SE-40028961,Northam PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,NORTHAM,WA,6401,116.674547,-31.654580,True,,No current rating,30.000000,79.581338,0.631305,0.631305,False,False,,False,28.000000,28.000000,False,57.500000,28.000000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,51,Inner Regional Australia,Regional Australia,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028962,Dunsborough PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,DUNSBOROUGH,WA,6281,115.099791,-33.600608,True,,No current rating,40.000000,192.537579,22.387560,22.387560,False,False,,False,27.500000,27.500000,False,57.500000,27.500000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,51,Inner Regional Australia,Regional Australia,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028963,Bossley Park Montessori Academy,MAG NSW OPERATIONS PTY LTD,Centre-Based Care,BOSSLEY PARK,NSW,2176,150.879991,-33.859636,True,,No current rating,78.000000,18.613127,6.636766,6.636766,False,False,52.500000,True,,,False,,52.500000,Annual,1.000000,Long Day Care,10,Major Cities of Australia,Major Cities,New South Wales,NSW,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028964,Cranbourne Daycare & Kindergarten Centre - Green Gully,Cranbourne Day Care and Kindergarten Centre Pty Ltd,Centre-Based Care,CLYDE,VIC,3978,145.321047,-38.119532,True,,No current rating,106.000000,9.175995,4.163169,4.163169,False,False,62.500000,True,,,False,,62.500000,Annual,1.000000,Long Day Care,20,Major Cities of Australia,Major Cities,Victoria,VIC,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028966,River Gum PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,HAMPTON PARK,VIC,3976,145.260888,-38.034693,True,,No current rating,30.000000,4.075469,2.699056,2.699056,False,False,,False,26.666667,26.666667,False,60.000000,26.666667,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,20,Major Cities of Australia,Major Cities,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028967,Yarragon PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,YARRAGON,VIC,3823,146.061095,-38.209351,True,,No current rating,26.000000,12.293828,0.705372,0.705372,False,False,,False,21.250000,21.250000,False,55.000000,21.250000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,21,Inner Regional Australia,Regional Australia,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028971,Binap PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,BROOKFIELD,VIC,3338,144.538283,-37.703381,True,,No current rating,25.000000,5.902308,2.991426,2.991426,False,False,,False,27.500000,27.500000,False,60.000000,27.500000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,20,Major Cities of Australia,Major Cities,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028972,St George Preca PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,CAROLINE SPRINGS,VIC,3023,144.736809,-37.713906,True,,No current rating,40.000000,5.825422,3.571191,3.571191,False,False,,False,23.333333,23.333333,False,57.500000,23.333333,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,20,Major Cities of Australia,Major Cities,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028973,Kids' Early Learning Nirimba Fields OSHC,Blacktown City Council,Centre-Based Care,NIRIMBA FIELDS,NSW,2763,150.872368,-33.717117,True,,No current rating,75.000000,14.899359,1.429339,1.429339,False,False,,False,25.000000,25.000000,False,55.000000,25.000000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,10,Major Cities of Australia,Major Cities,New South Wales,NSW,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028980,Tall Tree Early Learning Landsdale,YCC (WA) Pty Ltd ATF YCC (WA) Unit Trust,Centre-Based Care,LANDSDALE,WA,6065,115.865624,-31.801532,True,,No current rating,129.000000,7.871508,6.810970,6.810970,False,False,57.500000,True,,,False,,57.500000,Annual,1.000000,Long Day Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028982,St Patrick's PS Fremantle TheirCare,TheirCare Pty Ltd,Centre-Based Care,FREMANTLE,WA,6160,115.750218,-32.052064,True,,No current rating,40.000000,14.415945,0.471738,0.471738,False,False,,False,25.000000,25.000000,False,,25.000000,School term,2.000000,OSHC: After School + OSHC: Before School,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,No,No
